topic,weights_topic
topic_40,0.1057791646461026
topic_9,0.09116003943476832
topic_32,0.08372025836273964
topic_26,0.08345448627536074
topic_12,0.08210927764981309
topic_11,0.08200470254775019
topic_30,0.08083092989500273
topic_4,0.08005344995140913
topic_43,0.07905020036914481
topic_25,0.07617976777583578
topic_5,0.07610612532821256
topic_46,0.0753478791943094
topic_27,0.0752526973310619
topic_45,0.07524449614406963
topic_3,0.0749365194968801
topic_22,0.07482073586458211
topic_6,0.06970366260873206
topic_47,0.06958574801459541
topic_0,0.06935371115878794
topic_49,0.0684469603741078
topic_8,0.06792327493149547
topic_41,0.06792065224369262
topic_39,0.06701850461511284
topic_24,0.0668695633404563
topic_44,0.0656100379725937
topic_10,0.0650524510127334
topic_42,0.06504820245029122
topic_21,0.06496122037965463
topic_38,0.0649161644734145
topic_34,0.0647706134158094
topic_37,0.06467563723881413
topic_15,0.06429658437605681
topic_19,0.06395833333333334
topic_33,0.06382803661421373
topic_16,0.0637944235904906
topic_23,0.0636150615966406
topic_31,0.06300314212976767
topic_2,0.06236766912656484
topic_48,0.06215160322073467
topic_29,0.061414978576170266
topic_35,0.060554922416060315
topic_36,0.060345021479498884
topic_13,0.05946850027875859
topic_20,0.05930174178349361
topic_28,0.05893058988064448
topic_17,0.05720545277507303
topic_1,0.05633371863738356
topic_7,0.05562854093111093
topic_18,0.05501630322106414
topic_14,0.05207843874322589
